model,macro_f1_mean,macro_f1_sd,weighted_f1_mean,accuracy_mean,fit_time_mean
LogisticRegression,0.7443836033555717,0.008241145473842562,0.7954705165569236,0.7927764917793905,0.8727930545806885
LinearSVC,0.7395018082816514,0.011702673794748243,0.7968773518216645,0.8006311658216253,0.7007375717163086
MultinomialNB,0.5858158062147755,0.015062273566137286,0.6901167691267304,0.73633885188834,0.4351208686828613
VADER,0.512552887659813,0.0,0.571685472029639,0.5494364754098361,0.05
Dummy,0.25690544492767114,3.932039903999129e-05,0.48321125737240866,0.626963796077711,0.16083641052246095
